time,frequency,confidence
3.404,278.589,0.925052
3.408,278.722,0.925762
3.412,278.922,0.920806
3.416,279.259,0.911131
3.420,279.476,0.911547
3.424,279.388,0.921988
3.428,279.492,0.917921
3.432,279.251,0.928703
3.436,279.348,0.929743
3.440,279.308,0.934436
3.444,279.281,0.933680
3.448,279.198,0.937571
3.452,279.171,0.936671
3.456,279.080,0.942181
3.460,279.315,0.935052
3.464,279.408,0.924848
3.468,279.559,0.922516
3.472,279.644,0.923587
3.476,279.539,0.927391
3.480,279.390,0.935245
3.484,279.388,0.933776
3.488,279.413,0.933952
3.492,279.385,0.935582
3.496,279.371,0.933806
3.500,279.243,0.937911
3.504,279.181,0.943979
3.508,279.051,0.949032
3.512,279.095,0.945893
3.516,279.150,0.945376
3.520,279.192,0.941440
3.524,278.957,0.952782
3.528,278.820,0.952256
3.532,278.669,0.953318
3.536,278.692,0.953195
3.540,278.756,0.953904
3.544,278.754,0.953269
3.548,278.647,0.953643
3.552,278.416,0.955297
3.556,278.013,0.958790
3.560,277.673,0.955389
3.564,277.410,0.947889
3.568,276.966,0.932910
3.572,276.723,0.920000
3.576,276.032,0.898000
3.580,275.554,0.891561
3.584,275.045,0.881186
3.588,274.836,0.855650
3.592,275.191,0.816364
3.596,276.105,0.758151
3.600,277.620,0.681973
3.604,279.794,0.702798
3.608,281.115,0.758464
3.612,282.021,0.773948
3.616,282.235,0.787672
3.620,281.808,0.787571
3.624,281.316,0.785604
3.628,281.193,0.752055
3.632,280.834,0.700060
3.636,281.107,0.630964
3.640,266.614,0.463951
3.644,243.591,0.532785
3.648,244.113,0.664431
3.652,244.242,0.719983
3.656,244.243,0.696591
3.660,244.109,0.662511
3.664,244.043,0.703414
3.668,244.032,0.728202
3.672,244.086,0.771044
3.676,244.418,0.812801
3.680,244.767,0.828477
3.684,245.029,0.826473
3.688,245.402,0.831978
3.692,245.823,0.836245
3.696,246.662,0.828233
3.700,247.683,0.845699
3.704,248.178,0.875687
3.708,248.714,0.878523
3.712,249.206,0.861860
3.716,249.633,0.831683
3.720,249.429,0.827915
3.724,249.059,0.824746
3.728,249.051,0.805816
3.732,248.923,0.801171
3.736,248.572,0.806543
3.740,248.144,0.813767
3.744,247.829,0.807741
3.748,247.309,0.789688
3.752,246.627,0.814517
3.756,246.249,0.830825
3.760,246.102,0.843735
3.764,246.315,0.845875
3.768,246.331,0.859078
3.772,246.340,0.871555
3.776,246.493,0.879833
3.780,246.979,0.866798
3.784,247.277,0.882042
3.788,247.481,0.908773
3.792,247.934,0.921403
3.796,248.522,0.922979
3.800,249.023,0.912957
3.804,249.546,0.895597
3.808,249.957,0.914594
3.812,250.329,0.929567
3.816,250.741,0.935365
3.820,251.072,0.934936
3.824,251.142,0.933185
3.828,250.966,0.937482
3.832,250.741,0.939124
3.836,250.685,0.935350
3.840,250.609,0.931751
3.844,250.579,0.921321
3.848,250.833,0.893176
3.852,251.397,0.860982
3.856,251.982,0.829008
3.860,252.286,0.805427
3.864,252.417,0.794246
3.868,252.419,0.750433
3.872,253.302,0.635619
3.876,253.861,0.510261
3.880,274.950,0.328582
3.884,279.352,0.547612
3.888,280.792,0.651679
3.892,283.321,0.592527
3.896,287.215,0.691737
3.900,288.134,0.790304
3.904,289.835,0.847855
3.908,290.661,0.909296
3.912,291.010,0.937662
3.916,291.638,0.944375
3.920,292.237,0.943157
3.924,292.730,0.934066
3.928,292.999,0.937641
3.932,293.143,0.945607
3.936,293.447,0.956098
3.940,293.595,0.959823
3.944,293.808,0.962160
3.948,293.985,0.966418
3.952,293.985,0.962669
3.956,293.993,0.965843
3.960,293.937,0.961388
3.964,293.948,0.962818
3.968,293.817,0.960586
3.972,293.654,0.961839
3.976,293.457,0.956827
3.980,293.276,0.953820
3.984,293.148,0.945675
3.988,293.169,0.948984
3.992,293.302,0.956003
3.996,293.366,0.959528
4.000,293.422,0.960687
4.004,293.390,0.960952
4.008,293.323,0.954684
4.012,293.338,0.951605
4.016,293.513,0.958162
4.020,293.487,0.953552
4.024,293.439,0.954748
4.028,293.563,0.960735
4.032,293.578,0.962428
4.036,293.544,0.957524
4.040,293.497,0.946271
4.044,293.023,0.907435
4.048,292.399,0.874399
4.052,291.857,0.858351
4.056,291.175,0.811038
4.060,290.913,0.733731
4.064,290.485,0.684526
4.068,291.156,0.696595
4.072,291.483,0.766266
4.076,291.759,0.819179
4.080,291.736,0.853591
4.084,292.227,0.853924
4.088,292.660,0.811972
4.092,292.496,0.790176
4.096,292.606,0.713277
4.100,293.617,0.602679
4.104,322.623,0.398241
4.108,364.577,0.563798
4.112,365.214,0.736394
4.116,365.545,0.856389
4.120,366.035,0.890075
4.124,366.903,0.897859
4.128,367.018,0.919959
4.132,367.476,0.922971
4.136,368.037,0.904371
4.140,368.604,0.896751
4.144,368.819,0.900177
4.148,369.520,0.905421
4.152,369.792,0.908037
4.156,369.978,0.922949
4.160,369.864,0.920039
4.164,370.230,0.924197
4.168,370.430,0.924817
4.172,370.615,0.929047
4.176,371.095,0.930643
4.180,371.406,0.930163
4.184,371.679,0.930906
4.188,371.982,0.933810
4.192,372.377,0.926435
4.196,372.574,0.923131
4.200,372.975,0.910486
4.204,373.198,0.900741
4.208,373.526,0.909036
4.212,373.722,0.911534
4.216,373.970,0.918113
4.220,374.225,0.921143
4.224,374.225,0.924556
4.228,374.190,0.914340
4.232,374.390,0.915007
4.236,374.148,0.892721
4.240,374.177,0.871876
4.244,374.232,0.816218
4.248,374.669,0.784448
4.252,375.140,0.653934
4.256,375.547,0.555934
4.260,375.083,0.384350
4.264,398.667,0.291860
4.268,462.601,0.568890
4.272,490.696,0.709205
4.276,492.232,0.781998
4.280,493.020,0.855902
4.284,493.784,0.907839
4.288,494.355,0.934850
