time,frequency,confidence
3.356,464.559,0.793073
3.360,465.644,0.763050
3.364,466.250,0.737407
3.368,466.933,0.709484
3.372,466.705,0.672260
3.376,466.893,0.627249
3.380,467.999,0.638560
3.384,469.778,0.584932
3.388,471.801,0.511687
3.392,486.798,0.516288
3.396,493.108,0.712596
3.400,494.910,0.811518
3.404,495.595,0.873975
3.408,495.794,0.905513
3.412,495.968,0.919900
3.416,496.078,0.933517
3.420,496.285,0.942875
3.424,496.516,0.942668
3.428,496.843,0.942237
3.432,497.129,0.938490
3.436,497.217,0.940133
3.440,497.324,0.938977
3.444,497.428,0.939818
3.448,497.217,0.945158
3.452,496.958,0.946881
3.456,496.736,0.950386
3.460,496.468,0.951382
3.464,496.167,0.949573
3.468,495.856,0.947255
3.472,495.476,0.944480
3.476,494.965,0.935334
3.480,494.821,0.924695
3.484,494.933,0.904023
3.488,495.505,0.863021
3.492,496.332,0.751948
3.496,498.004,0.363813
3.500,551.393,0.469863
3.504,553.309,0.712224
3.508,554.215,0.831722
3.512,554.566,0.876886
3.516,554.903,0.902445
3.520,554.627,0.912263
3.524,554.801,0.918242
3.528,554.919,0.928302
3.532,555.059,0.931960
3.536,555.000,0.933178
3.540,555.146,0.935400
3.544,555.016,0.937213
3.548,554.824,0.934226
3.552,554.697,0.931819
3.556,554.633,0.929943
3.560,554.448,0.926672
3.564,554.500,0.924961
3.568,554.238,0.911761
3.572,553.488,0.884115
3.576,553.045,0.846058
3.580,553.757,0.805097
3.584,554.436,0.717359
3.588,558.229,0.593414
3.592,574.285,0.561652
3.596,577.735,0.715899
3.600,581.174,0.877103
3.604,583.590,0.919948
3.608,584.426,0.942046
3.612,585.065,0.945534
3.616,586.151,0.958611
3.620,586.678,0.972073
3.624,587.267,0.980265
3.628,587.457,0.984655
3.632,587.627,0.985074
3.636,587.819,0.984375
3.640,588.218,0.983520
3.644,588.491,0.982393
3.648,588.638,0.979940
3.652,589.345,0.977753
3.656,589.829,0.974725
3.660,590.361,0.970911
3.664,590.617,0.962576
3.668,590.184,0.950492
3.672,589.559,0.953017
3.676,588.922,0.941753
3.680,588.985,0.928892
3.684,588.641,0.890427
3.688,587.776,0.844694
3.692,587.535,0.745676
3.696,587.838,0.580516
3.700,592.319,0.439954
3.704,647.000,0.448859
3.708,651.974,0.751013
3.712,655.199,0.857500
3.716,657.339,0.884067
3.720,658.608,0.892073
3.724,659.680,0.891811
3.728,660.541,0.885257
3.732,660.751,0.872163
3.736,660.343,0.882925
3.740,659.636,0.888658
3.744,659.248,0.887213
3.748,658.376,0.851573
3.752,657.602,0.851646
3.756,657.353,0.838854
3.760,657.032,0.764512
3.764,656.422,0.574865
3.768,656.681,0.644070
3.772,657.080,0.636510
3.776,657.079,0.579250
3.780,657.425,0.552706
3.784,595.041,0.300255
3.788,552.541,0.553689
3.792,553.514,0.720487
3.796,555.418,0.839003
3.800,556.161,0.896669
3.804,556.569,0.922697
3.808,556.893,0.933006
3.812,556.827,0.940457
3.816,556.737,0.947283
3.820,556.537,0.948784
3.824,556.199,0.951816
3.828,555.862,0.950035
3.832,555.636,0.947888
3.836,555.472,0.947432
3.840,555.507,0.948724
3.844,555.273,0.947731
3.848,555.184,0.944847
3.852,554.887,0.941907
3.856,554.907,0.941101
3.860,554.714,0.939207
